		LENGHT	DIAMETER	ROUGHNESS	FLOW	VELOCITY	UNITHEADLOSS	FRICTIONFACTOR
		m	mm		LPS	m/s	m/km	
p1	00:00:00	150.00	200.00	0.25	8.40	0.27	0.45	0.02
p2	00:00:00	150.00	200.00	0.25	8.40	0.27	0.45	0.02
p3	00:00:00	150.00	200.00	0.25	3.75	0.12	0.10	0.03
p4	00:00:00	150.00	200.00	0.25	3.75	0.12	0.10	0.03
p7	00:00:00	150.00	200.00	0.25	8.91	0.28	0.50	0.02
p8	00:00:00	150.00	200.00	0.25	8.91	0.28	0.50	0.02
p9	00:00:00	150.00	200.00	0.25	2.47	0.08	0.05	0.03
p10	00:00:00	150.00	200.00	0.25	2.47	0.08	0.05	0.03
p13	00:00:00	215.00	200.00	0.25	9.86	0.31	0.61	0.02
p15	00:00:00	215.00	200.00	0.25	4.81	0.15	0.16	0.03
p16	00:00:00	215.00	200.00	0.25	1.46	0.05	0.02	0.03
p14	00:00:00	215.00	200.00	0.25	3.59	0.11	0.09	0.03
p100	00:00:00	50.00	200.00	0.25	27.17	0.86	4.25	0.02
p5	00:00:00	215.00	200.00	0.25	6.11	0.19	0.25	0.03
p6	00:00:00	215.00	200.00	0.25	3.89	0.12	0.11	0.03
p101	00:00:00	50.00	200.00	0.25	10.00	0.32	0.63	0.02
p11	00:00:00	215.00	200.00	0.25	7.86	0.25	0.40	0.02
p12	00:00:00	215.00	200.00	0.25	7.14	0.23	0.33	0.03
p102	00:00:00	50.00	200.00	0.25	15.00	0.48	1.35	0.02
