		LENGHT	DIAMETER	ROUGHNESS	FLOW	VELOCITY	UNITHEADLOSS	FRICTIONFACTOR
		m	mm		LPS	m/s	m/km	
p1	00:00:00	150.00	200.00	0.25	8.59	0.27	0.47	0.02
p2	00:00:00	150.00	200.00	0.25	8.59	0.27	0.47	0.02
p3	00:00:00	150.00	200.00	0.25	4.66	0.15	0.15	0.03
p4	00:00:00	150.00	200.00	0.25	2.40	0.08	0.05	0.03
p7	00:00:00	150.00	200.00	0.25	8.73	0.28	0.48	0.02
p8	00:00:00	150.00	200.00	0.25	8.73	0.28	0.48	0.02
p9	00:00:00	150.00	200.00	0.25	3.36	0.11	0.08	0.03
p10	00:00:00	150.00	200.00	0.25	3.36	0.11	0.08	0.03
p13	00:00:00	215.00	200.00	0.25	9.94	0.32	0.62	0.02
p15	00:00:00	215.00	200.00	0.25	5.03	0.16	0.17	0.03
p16	00:00:00	215.00	200.00	0.25	2.15	0.07	0.04	0.03
p14	00:00:00	215.00	200.00	0.25	2.76	0.09	0.06	0.03
p100	00:00:00	50.00	200.00	0.25	27.26	0.87	4.28	0.02
p5	00:00:00	215.00	200.00	0.25	6.08	0.19	0.25	0.03
p6	00:00:00	215.00	200.00	0.25	3.92	0.12	0.11	0.03
p101	00:00:00	50.00	200.00	0.25	10.00	0.32	0.63	0.02
p11	00:00:00	215.00	200.00	0.25	8.13	0.26	0.42	0.02
p12	00:00:00	215.00	200.00	0.25	6.87	0.22	0.31	0.03
p102	00:00:00	50.00	200.00	0.25	15.00	0.48	1.35	0.02
